Indigenous Development of Prototype ROV for UW Operations Onboard MCMVs	300003	2022-01-01	\N	Design and Indigenously Develop Prototype ROV for conduct of UW Operations onboard MCMVs	DNDP (Equip)	2022-01-01	2019-09-03	2022-01-01	120000000	2019-09-03	120000000	2023-01-01	120000000	Completed	2022-12-27	1.   Various activities for the integration of basic sensor suite (depth sensor, temperature sensor, power/ voltage sensor, IMU sensor etc.) for prototype ROV have been completed.\r\n\r\n2.   Work is in progress on in-house development of a test platform (lab prototype) for evaluation of integrated performance of the propulsion system and the basic sensor suite.\r\n\r\n3.   Interfacing work of the test platform with prototype GUI console using different communication medium e.g. Ethernet and Fiber Optic Cable is in progress.\r\n\r\n4.   Design improvements in control system architecture based on system performance analysis conducted during the month of November 2022 are in progress.\r\n\r\n5.   Construction/ development work of the ROV test tank is in progress. EDC 31 Dec 22.	\N	\N	300000	t	ROV-II
Interfacing of Link Y with DVBS	200002	2017-11-15	126	Sending Link Y data through DVBS instead of HF media	DSMR (WE)	2017-11-15	2001-01-01	2018-01-15	15000000	2018-11-15	15000000	2020-05-31	\N	Completed	2022-11-30	1.   Trials of Link Y - DVBS integration devices were completed on 06 ships and MHQ on 24 Sep 20. However, same are pending on 03 ships due non availability of Link Y systems. \r\n\r\n2.   DSMR (WE) has asked HQ COMPAK to nominate a suitable platform where trials of remaining devices can be carried out so that final acceptance formalities of the project can be completed. Nomination of platform is awaited from HQ COMPAK.\r\n\r\n3.  In the meantime, closing formalities of the project have been initated with M/s MTSS			200000	t	DVBS
Metgraph LP	200011	2022-11-23	\N	Development of 02 x Metgraphs for FACM	CICP	2022-11-23	2022-11-03	2022-08-22	3837188	2022-11-03	3837188	2023-01-11	3837188	Funds Awaited	\N	\N	\N	\N	200000	t	METLP
Directed Energy Weapons	350003	2020-07-12	129	\N	ACNS(DP)	2001-01-01	2001-01-01	2001-01-01	146000000	2020-02-12	146000000	2021-07-12	80000000	Completed	2021-07-30	Project is successfully completed.			350000	t	MC
Mine Warfare Data Center	200010	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Funds Awaited	\N	\N	\N	\N	200000	t	MWDC
Video Telemetry System	350007	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Funds Awaited	\N	\N	\N	\N	350000	t	VTS
Supersonic metal spray for submarines	400001	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Funds Awaited	\N	\N	\N	\N	400000	t	SMSRS
Underwater Sea Surveillance System Acoustic Sensor Network	450001	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Funds Awaited	\N	\N	\N	\N	450000	t	PKS
Unmanned Underwater Vehicle	300002	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Funds Awaited	\N	\N	\N	\N	300000	t	UUV
Overhaul of ELINT System of RDS Nathiagali II	200009	\N	\N	Continuation of ELINT project	DSMR WE	2020-06-01	2021-10-27	2020-06-18	14900000	\N	\N	\N	\N	Funds Awaited	\N	\N	\N	\N	200000	t	ELINT-II
Development of Data Analysis and Decision Support System (DADSS) for PMSA	200012	2023-01-02	\N	Development of Data Analysis and Decision Support System (DADSS) for PMSA	PMSA	2022-12-22	2022-06-30	2022-09-30	7537344	2022-12-22	7537344	2023-05-19	7537344	Funds Awaited	\N	\N	\N	\N	200000	t	DADSS
Indigenous Development of Prototype ROV for UW Operations Onboard MCMVs	300005	2023-02-27	\N	Design and Indigenously Develop Prototype ROV for conduct of UW Operations onboard MCMVs	DNDP (Equip)	2023-02-24	2019-09-03	2023-02-27	100000000	2019-09-03	100000000	2024-02-26	100000000	Work in progress	\N	1.   As per the requirements of milestone 4, development and integration of tether management system for the prototype ROV has been completed. Milestone completion certificate of the same has been submitted through M/s MTSS on 16 May 23 for release of project funds.\r\n\r\n2.   The project team is currently involved in development of ROV's operator GUI console.	\N	\N	300000	t	ROV-III
Indigenuous development of NIU for PNS/M HAMZA	200007	2021-10-14	\N	To develop a customized NIU-HAMZA for management of INS SIGMA 40 and its integration with SDDS	DSMM	2021-10-01	2021-10-01	2021-10-15	10300000	2022-03-07	10300000	2022-12-01	10300000	Work in progress	2022-12-15	1.   First milestone has been completed and GPP has been submitted.\r\n\r\n2.   Second milestone has been completed and CDR has been submitted.\r\n\r\n3.   Prototype system has been successfully installed and tested on board in Nov 22.\r\n\r\n4.   Installation of ruggedized verion (final milestone) completed and trials conducted successfully on 22 May 23.	\N	\N	200000	t	NIU-HZ
Overhaul of ELINT	450016	2026-01-20	\N	saasasasasasa	sda	2026-01-12	2026-01-13	2026-01-11	11111	2026-01-14	\N	2026-03-18	\N	Open	\N	\N	\N	\N	200000	t	new2
pr444	450022	2026-02-19	\N	sadasdadsad	prt	2026-01-12	2026-01-09	2026-01-01	11111	2026-01-12	\N	2026-07-01	\N	Open	\N	\N	\N	\N	200000	t	pr4
Indigenous Development of VFDs onboard Agosta 90B Submarine	350010	2021-02-01	149	Indigenous Development of VFDs onboard Agosta 90B Submarine	DSMM	2021-01-01	2020-12-01	2021-01-01	64000000	2021-02-01	64000000	2021-12-30	64000000	Completed	2023-07-29	Progress\r\n\r\n1.   Milestones Completion.\r\n\r\n       a.   Project has been successfully completed vide reference GM ME S/M/PGD/308-KHA/ 38 dated 29 Jul 22. \r\n\r\n       b.   The project warranty has been completed on 29 Jul 23.\r\n\r\n2.   Provision of VFD Spares List. PND shared required list of items with quantity vide letter PN/S/M WING/MAINTENANCE/937076 dated 24 Aug 23.  In this regard, NRDI INTELL has shared finalized list of items with PND vide reference PN/R AND D WING/GENERAL/5371804 dated 09 Oct 23. The list of items is divided as follows:\r\n\r\n       a.   Items available through manufacturer (PCB Spares held with NRDI INTELL will be provided Free of Cost (FOC))\r\n\r\n       b.   Items available through international suppliers\r\n\r\n       c.   Locally available items\r\n\r\n       d.   Items manufactured by NRDI INTELL			350000	t	VFD
Fabrication of Antenna Units along with associated accessories of SUR-17 RADAR onboard F-22P Frigates	350018	2022-04-01	\N	Fabrication of Antenna Units along with associated accessories of SUR-17 RADAR onboard F-22P Frigates	DSMR-(WE)	\N	2022-03-15	2022-03-15	13000000	2022-03-16	13000000	2023-09-30	\N	Work in progress	\N		\N	\N	350000	t	SUR
Directed Energy Weapons 2	350015	2021-12-15	\N	Indigenous development of directed energy Weapon phase II	ACNS DP	\N	2021-10-14	2021-12-15	30000000	2021-11-30	30000000	2022-08-15	\N	Completed	2022-08-15	1.   Field demonstration of power combination of 04 magnetrons was successfully conducted at RDS NATHIAGALI vide Letter PN/HQ COASTAL COMMAND/OPERATIONS/3306982 dated 06 Mar 23. The target placed at 35m was successfully damaged. The detailed report is submitted vide letter PN/R AND D WING/GENERAL/3428896 dated 14 Mar 23.\r\n\r\n2.   Work order for phase 3 amounting Rs. 30M is awaited as per the following salients.\r\n\r\n       a.   Optimized power combination of 04 S-band 1 kW CW magnetrons in laboratory.\r\n\r\n       b.   The transformation from TE10 to TE11 mode of radiating antenna to increase damage lethality in field demonstration of 04 S-band magnetrons.\r\n\r\n       c.   Study consolidation to combine power of pulsed magnetrons.	\N	\N	350000	t	MC-II
Mitigation of Noise related issues of APMs and VFDs onboard PN MCMVs	350026	2023-06-01	\N	Mitigation of Noise related issues of APMs and VFDs onboard PN MCMVs	SMR(ME)	\N	2022-12-06	2022-12-06	11140705	2023-05-25	11030119	2023-11-01	\N	Work in progress	\N	File attached	\N	\N	350000	t	DNF
High Speed Target Drone 2	350006	2021-12-15	\N	Indigenous Development of High Speed Target Drone Phase-II	NCW(tech)	\N	2021-10-14	2021-11-03	13000000	2021-11-03	13000000	2022-06-15	\N	Work in progress	\N	Attached	\N	\N	350000	t	HSTD-II
RAVEN-01	350013	2020-04-07	124		NCW (Tech)	\N	2020-01-01	2020-01-01	206000000	2020-04-01	206000000	2022-01-22	\N	Completed	2023-06-03	Please find the attchement.	\N		350000	t	RAV-I
Hawker Hunter-I Unmanned Aerial Vehicle (UAV)	350030	2023-08-01	\N	\N	DSOF&M	2022-02-10	2022-02-10	2022-04-14	38143000	2023-06-26	38143000	2025-10-31	\N	Work in progress	\N	File attached	\N	\N	350000	t	HH1
Installation of IGS Plant on PNS NASR	200015	2023-06-08	\N	Installation of IGS Plant on PNS NASR	DSMR ME	2022-05-16	2022-11-07	2022-05-23	288000000	2023-05-25	288000000	2024-05-15	288000000	Work in progress	\N	1.   T0 established on 15 Jun 23\r\n\r\n2.   Global Plan completed and accepted in Dec 23\r\n\r\n3.   CDR completed and accepted in Dec 23. PRO awaited.\r\n\r\n4.   Instllation of pipes and valves completed during EMP of the ship.\r\n\r\n5.   Ordering of IGS plant and installation of cable will be undertaken on receipt of payment.	\N	\N	200000	t	NASRIGS
Autonomous Underwater Vehicle (AUV) for Conduct of ISR Operations	300004	\N	137	Development of AUV for Conduct of ISR Operations for Defence of Harbour and Coastal Installations	NRDI Initiative	2020-04-17	2020-04-17	2020-04-17	125000000	2020-04-17	125000000	\N	\N	Funds Awaited	\N	1.   R&D project for indigenous development of a prototype AUV for conduct of underwater ISR operations was approved at a cost of Rs. 125 M. The project funding was approved to be provided in 02 years (i.e. Rs. 80 M for Year 1, and Rs. 45 M for Year 2).\r\n\r\n2.   Draft work order along with a detailed technical proposal in this regard has already been forwarded to NHQ (NRD Div) for further processing and release of the requisite project funds.\r\n\r\n3.   Project execution will commence upon availability of requisite R&D funds.			300000	t	AUV
Installation of Tank Level Indication (TLI) System onboard PNS NASR	200013	2023-05-08	\N	Availability of TLI System onboard PNS NASR through repair/refurbishment of existing components and installation of new ones	DSMR	2023-04-17	2022-11-07	2022-05-23	18500000	2022-11-07	18500000	2024-04-15	18500000	Work in progress	\N	1.   T0 established in May 23\r\n\r\n2.   Global Plan and CDR (MS 2 and 3) completed and accepted.\r\n\r\n3.   MMI (MS 4) completed and accepted.\r\n\r\n4.   09 x sensors repaired during ship EMP.\r\n\r\n5.   Cable installation and MMI hardware planned during upcoming working window of the ship	\N	\N	200000	t	TLI
Installation of Inert Gas System on PNS NASR	200014	2023-06-08	\N	Installation (repair, replacement and refurbishment) of IGS on PNS NASR	DSMR ME	2023-05-25	2022-11-07	2022-05-23	288000000	2023-05-25	288000000	2024-05-31	288000000	Work in progress	\N	1.   T0 established on 15 Jun 23\r\n\r\n2.   Global Plan completed and accepted in Dec 23\r\n\r\n3.   CDR completed and accepted in Dec 23. PRO awaited.\r\n\r\n4.   Instllation of pipes and valves completed during EMP of the ship.\r\n\r\n5.   Payment for MS-I and partial paymet (MS-I) have been received. Ordering of IGS plant and installation of cable will be undertaken on confirmation of availability of funds for the project by NHQ.	\N	\N	200000	t	IGS
Variable Frequency Drive for Air Conditioner Complete Syatem	350029	2023-08-01	\N	\N	CICP	2019-08-30	2023-05-05	2023-05-05	6356643	2023-06-22	6356643	2024-10-01	\N	Completed	2024-04-05	\N	\N	\N	350000	t	VFD-AC
Level 3/4 maintenance of LUNA NG UAVs - Propulsion Unit	350019	2023-03-01	\N	\N	DNAM	\N	2022-06-27	2022-08-26	40182219	2023-02-09	39960629	2024-02-29	\N	Work in progress	\N	File attached	\N	\N	350000	t	L-PRO
Functional replacement of Advanced Stabilized Glide Scope Indicator (ASGSI) Control System catering top enclosure onboard PNS MOAWIN	350027	2023-07-01	\N	Functional replacement of Advanced Stabilized Glide Scope Indicator (ASGSI) Control System catering top enclosure onboard PNS MOAWIN	SMR(WE)	2023-01-04	2023-01-04	2023-03-06	6838463	2023-05-16	6838000	2024-01-01	\N	Work in progress	\N	Please find attachment.	\N	\N	350000	t	GPI
Indigenuous development of NIU for PNS/M HURMAT	200003	2019-09-30	127	Functional replacement of NIU of PNS/M HURMAT	DSMM	2018-06-15	2019-06-20	2019-09-20	15000000	2019-06-20	15000000	2020-09-30	\N	Completed	2021-04-30	1.   Acceptance trials of the system have been completed on 12th April 2021.\r\n\r\n2.   Closing formalities of the project are under process at M/s MTSS and DITD (S).			200000	t	NIU
Development of Portable Remotely Operated Unmanned Underwater Vehicle (ROV) for Hydrography	300006	2023-08-21	\N	To indigeneously develop/ manufacture portable ROV along-with operator console for PN Hydrography	D Hydrography	2023-06-26	2022-11-09	2021-11-15	24709402	2022-11-09	24709402	2024-02-20	24709402	Work in progress	\N	\N	\N	\N	300000	t	HYDROV
Vision based maritime traffic monitoring at Karachi harbour	250004	\N	144	\N	Dir R&D	2001-01-01	2020-01-01	2020-01-01	\N	2020-01-01	\N	\N	\N	Funds Awaited	\N	1.   Project was principally approved in 2nd R and D board. The same was reviewed in 3rd R&D Board meeting at NHQ.\r\n\r\n2.   As per decision of the Board Meeting, D SOF&M has been nominated as Sponsoring Dte. Accordingly, D SOF&M has to evaluate the proposed project, formulate URD and process Project Proposal Form, if required.\r\n\r\n3.   Being low in priority the project has been dropped by sponsoring dte, therefore the same was not presented in 4th R &D board meeting.			250000	t	VMS
Overhaul of ELINT	450017	2026-01-29	\N	sdasda	asdasd	2026-01-12	2026-01-12	2026-01-12	1111	2026-01-14	\N	2026-05-27	\N	Open	\N	\N	\N	\N	200000	t	new222
sada	450023	2026-01-28	\N	xfsdfsdfsd	sadasds	2026-01-12	2026-01-08	2026-01-01	2222	2026-01-15	\N	2026-03-10	\N	Open	\N	\N	\N	\N	200000	t	sdaa
Variable Frequency Drive 2	350031	2023-09-01	\N	\N	CICP	2023-04-18	2023-04-18	2023-07-05	146613490	2023-07-26	146613490	\N	\N	Work in progress	\N	Progress\r\n\r\n1.   Work order for development of 24 VFDs has been received and accepted with T0 established as 01 Sep 23.\r\n\r\n2.   Milestone 03 (Inspection of Raw Material) has been submitted on 17 Oct 23.\r\n\r\n3.   Milestone 04 (Inspection of Control Monitoring Chassis) has been submitted on 28 Feb 24.\r\n\r\n4.   Urgent requirement of 03 x VFDs. \r\n\r\n       a.   Urgent requirement of 03x VFDs HPAC is raised by Dockyard vide reference PN/CICP/GENERAL/6374995 Dated 01 Dec 23. In this regard, customized control panels of VFD are ready for installation. To complete the fitment/installation activity, provision of VFD cabinets/chassis along with required connector was requested vide letter PN/R AND D WING/GENERAL/6670093 Dated 21 Dec 23. \r\n\r\n       b.   03x VFDs were handed over to Dockyard on 11 Jan 24 vide letter PN/R AND D WING/GENERAL/7003144 Dated 12 Jan 24.	\N	\N	350000	t	VFD2
Indigenous Development of Directed Energy Weapon (DEW)-lll	350028	2023-07-01	\N	Development of Directed Energy Weapon	NRD Division	\N	2023-06-20	2023-06-27	30000000	2023-06-14	30000000	2024-06-30	\N	Work in progress	\N	Progress\r\n\r\n1.   Project Plan Submission. The "Global Project Plan" (GPP) has been submitted against Milestone M2. The same has been forwarded to MTSS for invoice and onward submission.\r\n\r\n2.   HPO Submission. The "Hardware Purchase Order" (HPO) has been submitted against Milestone M3. The same has been forwarded to MTSS for invoice and onward submission.\r\n\r\n3.   Detailed Design Report. Milestone M4 (Submission of Detailed Design Report) has been submitted.\r\n\r\n4.   Sourcing of Heat Sink. Required 5 kW Heat Sink was received and tested with 02 kW magnetron. Same heat sink will be utilized as load for effective power combination of 4 x S band 1KW magnetrons.\r\n\r\n5.   Study for Next Phase. Study for development of high power electromagnetic sources for enhance lethality and extended ranges is in progress.\r\n\r\n6.   Design Activities. \r\n\r\n       a.   Design of antenna mode converter for enhanced gain from TE10 to TE11 is completed along with conical antenna. Fabrication of mode converter is complete. \r\n\r\n7.   Lab Testing. Lab testing with 04 x Magnetrons is completed. \r\n\r\n8.   Field Testing. Manufacturing of 01x Conical Horn antenna is completed. Field testing will be performed shortly.	\N	\N	350000	t	MC3
Virtual Reality based simulator for torpedo launching tubes (STLT) for submarines	250003	2023-07-15	141	To research and indigenously develop Submarine Torpedo Launching Tube Simulator using Virtual Reality (VR) technology, which can then be used for training of PN S/M personnel	DSMO	2023-06-22	2023-06-22	2021-12-07	53850000	2023-06-22	53850000	\N	\N	Work in progress	\N	1.   Competent authority approved indigenous development of STLT at a cost of Rs 53.85M in 3rd R&D Board vide NRD/189/R & D Board/158 dated 02 Jan 2023.\r\n\r\n2.   Project has been approved to be undertaken at the cost of 53.85 M. Rs 10 M to be allocated during CFY for Recoupment in BOA with M/S MTSS for subsequent issuance of work order. \r\n\r\n3.   Workorder has been issued w.e.f 22 June 2023.\r\n\r\n4.   Milestone 1 and 2 have been completed. Milestone 3 is in progress.\r\n\r\n5.   Visit of PNSM KHALID was conducted by officers on 21 Dec 2023 for manual acquisition of images/ videos of Torpedo Launching Tube (TLT) section of AGOSTA 90B S/M.\r\n\r\n6.   Initial wire diagram of the overall structure/ environment of Section C has been developed. Milestone 3 has been completed. Milestone 4 is currently in progress.			250000	t	STLT
Indigenous Development of 06 x Rugged Version Control System for PAP-104 System Vehicles and 03 x Operator GUI Consoles	300007	2023-11-10	\N	To Indigenously Develop/ Manufacture 06 x Rugged Version Control System for PAP-104 System Vehicles and 03 x Operator GUI Consoles	DSMR WE	2023-10-26	2023-10-26	2023-07-13	97958000	2023-09-20	97958000	2024-05-09	97958000	Work in progress	\N	\N	\N	\N	300000	t	PAP104
Level 3/4 maintenance of LUNA NG UAVs-Data Links	350021	2023-03-01	\N	\N	DNAM	\N	2022-06-27	2022-08-26	14855403	2023-02-09	14855403	2024-02-29	\N	Work in progress	\N	Please find attachment.	\N	\N	350000	t	LDL
Level 3/4 maintenance of LUNA NG UAVs- RF & Avionics Components	350020	2023-03-01	\N	\N	DNAM	\N	2022-06-27	2022-08-26	16033968	2023-02-09	16033968	2024-02-29	\N	Final Acceptance Awaited	\N	Progress\r\n\r\n1.   Hardware Lab Assembly. Team visited GHARO on 9 Jan 24 for ground testing of LUNA RF and Avionics components. RF testing of Primary and secondary datalink antennas on GCS along with Remaining GCS side RF components such as attenuator, RF cables and BMR 120 has also been completed along with relevant ATP and ATR. Hardware lab assembly report is submitted. \r\n\r\n2.   Lab & Field Trials. Lab and field trials of the system were successfully carried out.\r\n\r\n3.   Training of AED Personnel. Training plan has been formulated and shared with AED, vide reference. In this regard, AED has nominated reps to attend the said training sessions, vide reference PN/COMNAV/MAINTENANCE/7970758 Dated 29 Mar 24.	\N	\N	350000	t	LRFA
Medium Altitude Long Endurance Unmanned Combat Aerial Vehicle (Male UCAV)	350004	2020-07-12	130	\N	DNDP (Equip)	2001-01-01	2001-01-01	2001-01-01	505000000	2020-02-12	505000000	2021-07-12	130000000	Work in progress	\N	Progress\r\n\r\n1.   Phase-II Work Order. The work order for phase 2 is still awaited. The earliest issuance of WO is requested in order to retain the trained project HR. \r\n\r\n2.   Space Requirement for UCAV Development. Allocation of PNS BAHADUR drill shed for shifting of NRDI M/SPF to undertake UCAV development is awaited. NHQ letter PN/NRD DIV/R AND D DTE/03/3754293 dated 02 Jun 22 refers.\r\n\r\n3.   For earlier issuance of the WO case has been processed with NHQ vide letter PN/NDRI/GENERAL/4586185 dated 01 Jun 23.\r\n\r\n4.   NRDI has successfully developed test bench for the ROTAX engine, the test bench is fully operational and capable of monitoring multiple parameters. Moreover, during the COMPAK Command presentation held on 26 Apr 22, perused by the Chief of the Naval Staff vide reference PN/NO Dte/OPERATIONS /1101791 dated 03 Jul 23, it has been decided that the NRDI is to be engaged to establish I&D level maintenance setup / limited R&D of CH4. PPF and URD have been received. Work on technical and budgetary proposal will be started upon identification of airworthiness certification body from NHQ.			350000	t	UCAV
NIU KH	200016	2024-01-05	\N	To develop a customized NIU-HAMZA for management of INS SIGMA 40 and its integration with SDDS	DSMM	2024-01-05	2024-01-05	2024-01-05	7500000	2024-01-05	7500000	2024-03-31	7500000	Funds Awaited	\N	\N	\N	\N	200000	t	NIUK
